slug,title,type,url,done
"flat-vs-reducing-rate-calculator","Flat vs Reducing Rate Calculator","calculator","",no
"forex-compounding-calculator","Forex Compounding Calculator","calculator","",no
"forex-margin-calculator","Forex Margin Calculator","calculator","",no
"position-size-calculator","Forex Position Size Calculator","calculator","",no
"forex-profit-calculator","Forex Profit Calculator","calculator","",no
"freelance-rate-calculator","Freelance Rate Calculator","calculator","",no
"fuel-cost-calculator","Fuel Cost Calculator","calculator","",no
"future-cost-calculator","Future Cost Calculator","calculator","",no
"future-value-calculator","Future Value Calculator","calculator","",no
"gst-calculator","GST Calculator","calculator","",no
"gas-fee-calculator","Gas Fee Calculator","calculator","",no
"gift-tax-calculator","Gift Tax Calculator","calculator","",no
"goal-savings-calculator","Goal Based Savings Calculator","calculator","",no
"gold-loan-calculator","Gold Loan Calculator","calculator","",no
"gross-profit-calculator","Gross Profit Calculator","calculator","",no
"gross-to-net-calculator","Gross to Net Salary Calculator","calculator","",no
"hra-exemption-calculator","HRA Exemption Calculator","calculator","",no
"health-insurance-calculator","Health Insurance Premium Calculator","calculator","",no
"high-yield-savings-calculator","High Yield Savings Calculator","calculator","",no
"home-affordability-calculator","Home Affordability Calculator","calculator","",no
"heloc-calculator","Home Equity HELOC Calculator","calculator","",no
"home-insurance-calculator","Home Insurance Calculator","calculator","",no
"home-loan-emi-calculator","Home Loan EMI Calculator","calculator","/calculators/home-loan-emi-calculator",yes
"billing-rate-calculator","Hourly Billing Rate Calculator","calculator","",no
"hourly-rate-calculator","Hourly Rate Calculator","calculator","/calculators/hourly-rate-calculator",yes
"hourly-to-salary-calculator","Hourly to Salary Calculator","calculator","",no
"human-life-value-calculator","Human Life Value Calculator","calculator","",no
"irr-calculator","IRR Calculator","calculator","",no
"impermanent-loss-calculator","Impermanent Loss Calculator","calculator","",no
"income-protection-calculator","Income Protection Calculator","calculator","",no
"income-tax-calculator","Income Tax Calculator","calculator","",no
"income-vs-expense-calculator","Income vs Expense Calculator","calculator","",no
"inflation-calculator","Inflation Calculator","calculator","",no
"insurance-needs-calculator","Insurance Needs Calculator","calculator","",no
"interest-only-loan-calculator","Interest Only Loan Calculator","calculator","",no
"inventory-turnover-calculator","Inventory Turnover Calculator","calculator","",no
"investment-goal-calculator","Investment Goal Calculator","calculator","",no
"invoice-calculator","Invoice Total Calculator","calculator","",no
"latte-factor-calculator","Latte Factor Calculator","calculator","",no
"lease-vs-buy-calculator","Lease vs Buy Calculator","calculator","",no
"life-insurance-calculator","Life Insurance Calculator","calculator","",no
"line-of-credit-calculator","Line of Credit Calculator","calculator","",no
"loan-affordability-calculator","Loan Affordability Calculator","calculator","",no
"loan-comparison-calculator","Loan Comparison Calculator","calculator","",no
"loan-emi-calculator","Loan EMI Calculator","calculator","/calculators/loan-emi-calculator",yes
"loan-eligibility-calculator","Loan Eligibility Calculator","calculator","",no
"loan-interest-calculator","Loan Interest Calculator","calculator","",no
"loan-late-payment-calculator","Loan Late Payment Calculator","calculator","",no
"loan-payoff-calculator","Loan Payoff Calculator","calculator","",no
"loan-prepayment-calculator","Loan Prepayment Calculator","calculator","",no
"loan-refinance-calculator","Loan Refinance Calculator","calculator","",no
"loan-tenure-calculator","Loan Tenure Calculator","calculator","",no
"loan-to-value-calculator","Loan to Value Calculator","calculator","",no
"lot-size-calculator","Lot Size Calculator","calculator","",no
"lumpsum-calculator","Lumpsum Investment Calculator","calculator","",no
"margin-calculator","Margin Calculator","calculator","",no
"marginal-tax-rate-calculator","Marginal Tax Rate Calculator","calculator","",no
"markup-calculator","Markup Calculator","calculator","",no
"mileage-reimbursement-calculator","Mileage Reimbursement Calculator","calculator","",no
"millionaire-calculator","Millionaire Savings Calculator","calculator","",no
"minimum-payment-calculator","Minimum Payment Calculator","calculator","",no
"minimum-wage-calculator","Minimum Wage Calculator","calculator","",no
"mining-calculator","Mining Profitability Calculator","calculator","",no
"money-doubling-calculator","Money Doubling Time Calculator","calculator","",no
"money-market-calculator","Money Market Calculator","calculator","",no
"monthly-expense-calculator","Monthly Expense Calculator","calculator","",no
"mortgage-affordability-calculator","Mortgage Affordability Calculator","calculator","",no
"mortgage-amortization-calculator","Mortgage Amortization Calculator","calculator","",no
"mortgage-calculator","Mortgage Calculator","calculator","/calculators/mortgage-calculator",yes
"mortgage-comparison-calculator","Mortgage Comparison Calculator","calculator","",no
